comments,labels
ایده بازی سناريو خیلی خوب بود درست نتوستن اجراش کنن، برخورد پرسنل خوب نبود بهتر بود راه های دیگه فضا سازی وجود اوردن حس حال بازی استفاده کنن جای بد رفتاری عقده!! منطقه ی اتاق اصلا امن نيست متاسفانه مجبور کردن دیروقت منطقه بانک پیدا کنیم کارت کارت کنیم چون دستگاه پوز نداشتن! کل تجربه جالبی نبود!!,1
کل بد نبود خوب هم نیست بازی اصلا نور کار نکرده اکتور هم اصلا اونجور فکر میکردم نبودن امیدوارم پیشرفت کنن,0
عاااالی بوجود ینی بهتر نمیشد بهتون پیشنهاد میدم همتووووون امتحانش کنید خیییلی خوبه,0
لحاظ عالی دم مرتضی گرمم ناموسن جمعه ساعت ۲۰ سانس داشتیم خیلی خوش گذشت اکتور عالی قوی ممنون تیم خوبتون,0
اکتورا ضعیف اصلا حال نکردم بازیش درد نمیخوره,1
سلام دوستان بازی اصلا ازرش پول خرج کردن ندارن دکور افتضاح معماها اصلا جالب نبود جواب کل معماها خودشون میگن برخورد پرسنل افتضاح درکل فقط پول دور ریختنه الکی نریید کامنت های خوب هم خودشون خریدن نظر گذاشتن 10تا نظر مثبت آمد نظر الکی گول نظر های خوب نخورید,1
سلام وقتتون بخیر خیلی بهمون خوشگذشت فضاسازی بازی عالی بود تا اخرین لحظه جو بازی گرفته بود اکتور دخترشون خیلی خوب بود گیریمش عالی بود تعامل بازی هم خیلی دوس داشتم معماها قابل حل رون بود پیشنهاد میشه 🤩🤩🤩🤩🤩🤩🤩🖤🖤🖤🖤🖤🖤🖤🔥🔥🔥🔥🔥🔥🔥🔥😍😍😍😍😍😍😍🥰🥰🥰🥰🥰🥰😈😈😈😈😈😈👻👻👻👻👻👻👻👻,0
هیچ نکته ی مثبتی اتاق فرار ندیدم حتی منی تجربه ی اولین اتاق فرارم بود واسم خنده دار بود تا ترسناک اتاق فرار هیچ عنوان توصیه نمیشه اصلا خوب نبود,1
معماها سخت بسیار خوب بود👍🏻👍🏻,0
اصلا خوب نبود,0
عالی بود خیلی بهم خوش گذشت پیشنهاد میکنم حتمااا شرکت کنید,0
سلام کسانی بالای ۳ تا اتاق فرار ۱۰۰ درصد نرن برخورد پرسنل افتضاح سناریو افتضاح اکتور افتضاح بالای ۱۰۰ تا تجربه دارم افتضاح بازیم بود پیشنهاد می,1
آشغال اتاق فرار,1
بسیار عالی اکت زامبی حس واقعی پلیر ایجاد میکنه,0
سلام خدمت مورد اتاق فرار اول نقاط ضعفش نظر خودم بگم نقاط قوتش : نقاط ضعف : ۱. نوشته توضیحات داخل هر اتاق حل معما کمک چندانی نمی کرد صرفا داستان روایت می شد همین باعث شده بود گم بشیم ( تصورمون بود ارتباطی هست ) ۲. پایان بندی مناسبی نداره ، ناگهانی بدون هیجان جذابیت تموم,1
مجموعه ای خوب نظر مخصوصا پرسنل عالی ک دیر کرد داشتیم تایم کامل داشتیم حتی شاید بیشتر اکتورها اکت کاملا بموقع بود درکل ی شب عالی ساختن برامون 🙏🏼🙏🏼,0
سلام خسته نباشید بیش ۲۰۰ تا تجربه میتونم بگم بد بازی: *برخورد پرسنل افتضاح بود. *بازی ۴۰ دقیقه تاخیر شروع شد. *فضا بشدتتتتتتتت گرم بود (گرم عذاب دهنده) *این بازی نظر معما ۲ ۱۰ بیشتر شبیه سافاری وحشت بود. *تعامل های بی ربط سناریو پرت. سانس,1
مچکرم بابت اینکه بازی بیرون بردید🥲,0
هوای داخل بشدت گرم بود فضای نامناسب توجه تعداد ۸ نفر بود صدای موزیک بسیار بالا بطوریکه صدا نمیشد شنید بیسیم هم قطع بود پرسنل بدون توجه سناریو ادامه دادند,1
لحاظ عالی بود هم برخورد پرسنل هم جوری جدی طبیعی بودن باعث میشد آدم بره جو بازی خیلی راضی بودیم👌🏼,0
نمیخوام بد بگم بازی دوس نداشتم حالم بهم خورد,1
بازی خوبی بود ترس خوبی داشت تقریبا بیکار نخواهید بود یا دارن میترسوننتون یا دارید معما حل میکنید خیلی لحظات مفرحی ایجاد کردن هم کلی خندیدم هم کلی ترسیدیم هم معماهاش قدری سخت بود چند تا معمایی بدون راه حل حل کردیم کلی لذت بردیم ذوق کردیم پیشنهاد میکنم دوستان اسکیپ باز تجربه کنن ارزششو داره,0
سلام همگی جمعه ۱۶ دی ماه سانس ۸ رفتیم روایت داستان توضیحات مورد بازی ضعیف بود مخصوصا کسانی بار اول یا دومشون هستش. خوب بود داشت پیش میرفت تا اینکه یکی اکتور آخر بازی لباس نقشی بود چاقوی قصابی تیز برنده امد سمت یکی بچه های طوری رفتار کرد انگار جزئی نقششه بردن اتاق اخر بازی نشستیم دوستمون اکتور اتاق قبلی موند گفتیم شاید کمتر ترسوندنش میخوان بترسوننش فکر میکردیم میان هر بهمون اضافه میشن اتفاقی اصل افتاده بود بود اکتور گذاشتن چاقو روی گلوی دوست تهدید میتونم همین جا بکشمت آب آب تکون نخوره حالا اسمش گروگان گیریه هرچی هست دوست کاری نکرده بود تنها شدت ترس استرس بازی یکی اکتور های خانم متلک انداخته بود اونم نمیدونست خانمه یعنی گریم لباس طوری بود نمیشد تشخیص داد فک میکرد آقاست جنبه ندارین میاین اکتور خانم استفاده میکنین اخرشم بخواین تهدید مرگ کسی پول داده اومده تایمی خوشبگذرونه دوستانش خراب کنین پسری اکتوری موهاتو طلایی رنگ کردی جریان باش قانونی بخوایم اقدامی بکنیم خیلی برات گرون تموم میشه. کل دوستان سعی کنید اتاق فرارهایی برید قانونی ثبت شدن تا اینطور مشکلات برنخورید.,0
خيلي جالب بود سناريو اكت بازيگرا خيلي خوب بود،نمايش عالي بود خيلي پرسنل محترم بودن كل خيلي راضي بوديم,0
اتاق فرار جبن عنوان ششمین تجربه بازیم انتخاب کردم رتبه بندی قطعا جایگاه بالاتری داره دومین اتاق فرار محبوبمه تا اینجا. برخور پرسنل بسیار عالی بود. دکور بازی عالی بود مخصوصا اتاق اول بازی دکور فوق العاده ای داشت. ایده های خوبی فضا سازی داشتن شدت تحت تاثیر قرار گرفتم طراحی معماها خوب بود تعداد معماها تعداد اتاق کم بود. معماهارو دقت بالا میتونید راحتی حل کنید. هر چند تیم اکثرا اولین تجربشون بود 8 معما هینت گرفت. شیوه هینت دهی بازی هم شیوه مورد علاقمه. اینطور نیست نفر بیسیم راهنماییت کنه باید بک بزنی. 4 نقش بازیگر اکتور همگی بازی مسلط بودن. تئاترای خوبی اجرا کردن مهمتر ترس خوبی القا کردن اکتاشون. مخصوصا اکتور نقش تاریکی ترس بی نظیر بود. تهویه مناسبی داره فقط جا تهویشون خراب شده بود جایزه بک بهمون اب خنک دادن بهتر بود حداقل اب معدنی باشه درش بستس بطری خودشون پر کردن. کل سرگرمی خیلی خوبیه، ارزش پرداخت هزینه داره بهتون خوش میگذره. تنها ایراد بازی بود ریتم بازی اواسط پایان تعامل میوفته.,1
بسیار ترسناک ، درجه ترس ۱۰ ۱۰,0
خوب بود خسته نباشید ، جا داره بهتر شه 🙌🏼,0
شدت گرم بود.اکتای خوبی نداشت.معماهاش خیلی راحت بود.درکل خیلی جا داره واسه بهتر شدن.از نظر ایمنی خیلی بد بود برق یکی بچه هامونو گرفت.وقتی کولر خرابه سانس ندین😕اخرشم اهنگ میزارن خیلی مسخره میگن برقص😕این کامنت رضایتم درک نمیکنم واقعا.ب هرحال خسته نباشید,1
مجموعه ارائه بازی خفنشون (شمارش معکوس 1) خیلی انتظار بیشتری طوبی داشتیم چون مجموعه بازی اولش نحو راضی نگه داشت اکت معما فضا اتاق فرار طوبی اصلا چیزی انتظار داشتیم نبود خیلی بیشتر توقع داشتیم فضا خیلی کوچیک بود سناریو گُنگ بود خودشون آخر توضیح دادن مسیرو هزار بار باهم رفتیم اومدیم تجربه های اول تا پنجم خوبه انتظارم خیلی خیلی بیشتر بود ازین مجموعه بازی طوبی موجب شد حتی سمت جینا اتاق سوم هست نشم خسته نباشید کل خدا قوت,1
بازی فوق العاااااده خوب سبک جدید عالیییییی واقعیییی پر هیجان لذت بازی هایی هر لحظه خودت میتونی هر کاری کنی تنوع بدی بهش متفاوت بازی تمام کنی واقعااا خیلییی خوب زمان زیادی ران شدن بازی نمی,0
دکور خیلی خیلی عالی دلهره آور،خیلی لذت بردم،,0
انتظار ناممکن چیزهارو باید داشت ..... ایول واقعا👍👍,0
اتاق فرار استاندارد نبود تاچ زیاد میکردن تاچ نرمال درکل مناسب خانم نی داخل بازی لفظ های قشنگی استفاده نمی,1
چیز عالی بود,0
یعنی جرعت میتونم بگم بهترین بازی تهران هستش انقدر دکور خفن مکان ترسنکا هستش داخل جو بازی قرار میگیرین عالی بود مخصوصا اکتور ۱۰۰درصد پیشنهاد میشه .,0
شدت ترسناک هیجان انگیز بود خودم اتاق فرار چند بار رفتم فرق داشت مخصوصا بک هایی میزدن بازیکنا ترسناک بود دمه گرم,0
تجربه کنید اورلاو بدون شک❤️❤️❤️ زیباترین دکور اتاق فرار ایران معما عالی ترسناک شدت فضا سنگین زیبایی عتیقه مجسمه حس شدید عتیقه فروشی عالی بود بکا زیاد منطقی,0
ریدم مجموعتون دزدای بدبخت نظرات خوب گذاشتین سایت فقط,1
همون ریدیم اکتور متری دارن همون خیلی ترسیدم عالی بود مرسی ازتون❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️✨✨✨✨✨✨✨✨,1
اصلا خوب نبود برخورد پرسنل افتضاح اینکه نفر بک نزد انداختن بیرون ۶ نفر بودیم یکیمون حالش خوب نبود گیر دادن ۱ نفر بک بزنه دکورش خوب بود ۲ فضای اول بازی اصلا اکتوری نمیاد رفتارشون ضعیف اصلا راضی نبودیم جاش اتاق هایی مثل ماماچه سرایت منفی ۴ الرجیم بهتون معرفی میکنم هم ترسناک تره هم طرز رفتار مشتری بلدن وسط بازی بگن برین بیرون چون یکی بک نزد,1
شدت عالی بود ۴ تا اتاق فراری رفتم بهتر ترسناک تر بود فضاسازی فوق العاده دکور بی نظیر برخورد پرسنل درجه خیلی خوب بود تناسب معما ترس شکل فوق العاده ای سینک بود صدامون گرفت انقدر جیغ داد کردیم🤞🏻,0
عالی بود هیچی نمیتونم بگم ورود بازی خیلی خوب بود🤘🏼این بازی امتحان کنید😂,0
همون بازی قبلیشون جادوی سیاه هست همون دکور اوردن همینجا اسم عوض کردن خیلی خیلی کم سناریو عوض کردن بازی ران کردن اتفاقاتی جادو,0
خوب بود طراحی دکور واقعاااااا عالی بود خیلی دکور بی نظیری بود خیلیییی اکتورا هم خوب بودن فقط تعدادشون کمه لطفا اکتور خانوم هم اضافه کنید ترس بازیم بیشتر باشه بهتره وگرنه دکور داستان بازی صحنه سازی خیلی خوب بود اهان گریمتونم ترسناک نبود زیاد گفتم بگم چیزی گفته نماند مرسی تیم خوبتون,1
عالی بود منک,0
سناریو ضعیف دکور بد تهویه افتضاح بوی مطبوع اکتورها معمولی فضا اصلان تمیز نبود کل ضغیفترین اتاق فرار هایی بود تجربه کردم,1
سلام خسته نباشید 😍😍❤️❤️👏👏👏 عالی بود خداییش حرف نداشت اصلا فکر نمیکردم اینقدر بترسیم، مخصوصا وقتی اره برقی اومد،یا شوکر، یا صدای شمشیر میومد،دکور هم عالی بود، معما هم حرف نداشت ،در کل اتاق فرار رفتم بدون شک بهترین بود،از دوستان هم میخوام تجربه کنید پشیمون نمیشید.,1
خیلی خوب خوب خیلی ترسیدیم تنهایی بک نمیدادیم ترس شروع بازی عالی بود فضا جوری بود ک بدون اکتر هم ادم میترسید برخوردشونوم خیلی خوب بود کل دوس داشتیم✋????,0
سلام بازی بی نظیر درجه یکیه کار گروهی داشته باشید بیشتر خوش بگذره بهتون ، تشکر عوامل ارتکاب,0
خیلی مسخره خیلی اکتوراش مسخره فضا خاکی بوی گند خاک خفت میکنه بازی مسخره ایه اصلا حال نکردیم تازع وسط بازی گفتن وقتتون تمومه بیاین بیرون هر اتاق فراری میریم وقتمون تموم هم بشه میریم وقت اضافه بیرون نمیارن,1
برخورد پرسنل عالی اکتور,0
توجه عدم اتمام بازی نظری ندارم,1
۲۰تا تجربه اتاق فرار ترسناک نظرمو می,1
عالی بود محمد علی ترکی حرف میزد پایه بود 👍😂,1
بازی سبک اسلشری بود،ولی فضایی داشتن،میتونستن معماها فضاهای بهتری بیارن...دم پرسنل خوش برخوردشون گرم,0
بدتر دیگه امکان نداشت، خیلی بی برنامه بودند اول وارد میشی تا ربع فضای نیم,1
بدلیل تاریکی بیش حد موقع فرار اره برقی خواهر چارچوب برخورد کرد ابروش ترک خورد.بعد ار آمدن اورژانس پلیس شکایت . مسئولین مجموعه بشدت خونسرد حق جانب بودند.حتی پلیس هم طرفداری مسئولین اتاق فرار مقصر کرد اتاق فرار تاریکه دیگه . کل مشخص بود پلیس مسئولین اتاق فرار ازتاریکی نترس باهم هم نظر یکسو هستند. ضمن مجموعه مجوز ندارد هر صورت روند شکایت ادامه میدهیم.,1
خیلی هیجان انگیز ترسناک بود دکور خفن معماهای باحال. پیشنهاد میشه برید,0
ترس شدت کم. نداشتن داستان خوب. اکتور آماتور.,1
فوق العاده عالی بود ترس هیجانش عالی 👌🏼,0
اصلا جالب نبود قفل خراب پیدا کردن رمزا اصلا بک نزدیم چون قفلا راخت باز میشدن ن داستان حالبی داشت ن ترس خاصی اونایی دنبال اتاق فرار عالین اصلا پیشنهاد نمیکنم کلا چیز ضعیف کلیم تایم اضافه اوردیم چون راحتی مراحل رفتیم تازه شروع مبد هم نیست ساعت اکتور داستان تعریف کرد بعدشم گفت برید کلا نردی بازی خوبی نیست حیف پول دادیم بر خورد پرسنلم صفر,1
اولین بار بودش سبکو بازی میکنم اولین باره اتاق فرار میرم خیلی خیلی عالی بود ممنونم بازیگر های بازی 👏👏❤️,0
انصافا خیلی قشنگ بود,0
سلام خواستم بگم کامنتای مثبتی دیدید پرسنله خودشون هستن کاملا چرت پرت میگن ۵۵۰ میلیون خرج کردن گوی هایی طول بازی باید پیدا کنی پیش خودشون نگهداشتن بعدشم دیشب اصلا کسی نرفته سانسای ۹ خالی بوده کامنتا ساعت گذاشته شده گولشون نخورید خیلی دروغ گو هستن بد برخورد ضمن گنده گوام هستن زیاد باورشون نکنید میگه پول برام مهم نیست چرت میگه اینکه خواستم بگم پولتون جوب نریزید ضمن ۵۵۰ میلیون خرج کرده خودش برا خودش کامنت میزاره,1
فضای بازی شدیدا سناریو معما میخوره اجرای اکتورا عالی فوق ترسناک هیجانی دمنون گرم خیلی خوش گذشت یکی,0
سلام بازی عالی بود مخصوصا برا کسی اولین بارشه. فقط توصیه میکنم بازی مستاجر ۱ برید مفهوم بازی دستتون بیاد. خودم چون زیاد اتاق فرار رفتم جذابیت زیادی برام داشت . دکور عالی اکتورا عالی بودن. معما تقریبا آسون بود . یکی دوستان ماهم بینی شو دست داد خاطر حمید😁😁😁,1
سلام امروز سانس وی ای پی رفتیم عالی بودین،یه ولله قسم داشتیم سکته میکردیم.همه عالی بود.پولی گرفتید حلالتون باشه.اکت,1
پیش درامد عالی بود ترسوندن ۸ نفر بودیم ترس هممون القا شده بود ،سناریو عالی،دکور عالی بود،اکتورا عالی بودن،پرسنل حرف نداشت دمتون گرم ،قشنگ قرق میشید سناریو بس کیفیت صدا خوب بود بک نگم براتون انقدر طولانیو ترسناکه تا حده سکته میرید،فقط رفیقه اولش تکی رفته بود واقع داشت میمرد انقدر ترسیده بود😂واقعا دمتون گرم شبه خوبی,0
سلام دوستان عرض ادب خدمت عزیزان مورد اتاق فرار خانه خاکستری ک تا حالا نرفتن درد میخوره تجرب اصلا پیشنهاد نمیشه چون نقاط ضعف شو میفهمند جمله دکور اکتور تایم بازی هینت کلا زیاد کار بلد نیستن امید وارم بهتر بشه کارشون .,1
سلام ، اتاق فرار فوق العاده ایه کسی دنبال ترس نیست بهترین اتاقه . اکتور عالی ، فضا سازی عالی دکور نگم آدم لذت میبرد . فقط افرادی سرعت حل معماشون بالاست تعداد معماهاش کمه خب بیشتر حالت تئاتری تعاملی داره تا معمایی.,0
عالي بود چي فقط دهن خالد سرويس??,0
نظرم بازی بازی «ضد» رقابت تنگاتنگی هست کدوم بهترین بازی کرجه (شاید تهران حتی ) ، هرچند ژانر,0
دوستان اصلا بازی پیشنهاد نمیکنم دلیل برخورد بسیار ضعیف پرسنل عوامل اکتور های بیش حد ضعیف ناتوان حتی تا اکت میفهمید اکتور ناتوان ترساندنن هی پر باگ طوری هی دیوار میخوردن فقط میتونم فضاسازی دکور نمره مثبت بدم اونم سناریو چون دکور سناریو اصن مناسب نیست احتمال آسیب دیدگی بسیار بالاست اصن فضای جنگی پرت میکنن سناریو روحی ، جنی درکل افتضاح بود دشمنی داریم اسکیپ چیزی دیگه تجربه ای کردیم داریم بیان میکنم امیدوارم هزینه الکی نکنید,1
عالی قشنگ ماه نمیخوابم,0
تجربه خوب هیجان انگیزی بود ، برخورد پرسنل اکت فضا سازی عالی ترسناک بود دستش ندید👌🏻,0
Hme jore awli,0
سلام لحظات خوبی فراهم کردین دمتون گرم عالی بود چیز بهترین بود ی دوستای کلی حال کردن ترسیدن خیلی خیلی هیجان بازی بالا معماها فوق العاده ایده های نو داشت ایشالله موفق باشین,0
فوق العاده بود... هر اتاق دکور منحصر فرد. معماهای چالش انگیز خاص عالی... اکتورهای فوق,0
اقا,1
خیلی بد اصلا نرین همچیش افتضاح بود بدترین اسکیپ روم تاریخ,1
فوق العاده موضوع جالب سرگرمص کننده,0
سلام افتضاح اتاق فراری بود رفتم رفتار پرسنل خوب نبود گیم مستر انقدر تند صحبت می,1
لطفا گول کامنتهای دروغی تعریف بازی نخورید امیدوارم کامنت پاک نشه تا افراد کمتری اشتباهی بازی برن سناریو بازی نصفه رها شده نمیدونید کجا وارد شدین باید چیکار کنید هیچ وقت نمیفهمید دونفر مردن بقیه کجا رفتن ۲۰ دقیقه اول بازی معطل میشید تا جا جاتون کنن هینت مستقیم تایم دست رفته جبران میکنن محض وارد بشین دقیقه رمز قفل میاد صفحه اکتور بخودشون اجازه میدن مسخره کنن ادای شمارو بیارن بهتون بخندن حرف بزنن گند بزنن باور پذیری بازیتون هیج جای بازی توجیه دکور ، فضا سازی نداره ،سناریو نداره نمیدونم چیه بازی گفته میشه خوب متاسفم بابت هدر کردن پول انرژی زمان ارزشم بازی,1
بازی خوب بود ..برخورد پرسنل عالی .. دکور خوبی داشت جذاب قشنگ وپر دلهره وحشت بازی دوست داشتم لذت بردم ..,0
مدت اتاق فرار خوب رفتم. دکور عالییی بود خیلی فضا خوشم اومد. معماهای جالبی داشتن اکت اکتورا خیلی خوب بود. امتحانش کنید خیلی خوبه .,0
افتضاح افتضاح حیف وقت هزینه مکان اصلا نمیدونم اسمشو گذاشتن اتاق فرار,1
عالیییییی بود دمتون گرم,0
امیدوارم عوامل سایت کامنتو پاک,1
سلام بازی خوبی بود تا الان تجربه تعاتر تعاملی نداشتم تجربه جالبی بود عمو عبدلا هم بجایه ماسک گریم میشد خیلی خفن تر میشد,1
امروز بازی رسوخ رفتیم خیلی بازی جذابی بود دکورشون حس روستارو منتقل می,0
جرعت میتونم بگم جزعه بهترین اتاق قرار هایی بود رفتم💪🏻💪🏻 دکور عالی😉 لوکیشن فوقالعاده🤩 برخورد عالی پرسنل برخورد فوق العاده🤩 آخر کلاهتو خیلی دوست دارم آقای ش....ر😂,0
سلام خدمت دوستان عزیز اول تشکر کنم برخورد پرسنل خیلی عالی بودن عنوان کسی بازی بازی کرده هم میخواستم چند نکته بگم دکور بازی بسیار جالب بود اینکه اکتور بازی بسیار,0
یکی بهترین جاهایی بود ک رفتم بر خورد خوب اکتور خوب گریمشون عالی بود میتونم بگم نظر عالی بودن,0
میتونم بگم بهترین اتاق فراری بود زندگیم رفتم ،واقعا خسته نباشید 👏🏽همه عالی بود 👏🏽 اولین اتاق فراری بود اومدیم بیرون دست زدیم براشون 👏🏽👏🏽👏🏽👏🏽خسته نباشید,0
عالی بود، شروع مبدأ تا حالا تجربه نکرده بودیم قشنگ بود استرس اول تجربه کنیم، اکت هاشون خیلی قشنگ ترسناک بود، روی نظرات بقیه بازی انتخاب کردم نظرم کاملا ارزشش داشت عالی بودن، توصیه میکنم بیاین,0
بازی خوبی بود دکور بازی فوق,0
خسته نباشید,0
بی,0
استرس هیجان زیاد میخوای برو اینجا حالشو ببر کلا استرس ولت نمیکنه لامصب دمتون گرم خیلی حوصله مودب بودن پرسنل ممنونم ازتون ❤️❤️❤️❤️❤️❤️❤️,0
اصلا پیشنهاد نمیکنم ، اکت های بسیار عالی داستان ترسناک فضا سازی مناسب یکم مشکل گرما تهویه بود عادی هست فضای های غیر استاندارد خطرناک باعث میشه اصلا توصیه نکنم پله هچ تونل سایز هرکسی نبود خطرات جانی هر لحظه شمارو تهدید میکنه خلاصه اگر ورزشکار حرفه ای هستید امادگی جسمانی خوب دارید قبلا هم کلی تجربه اتاق فرار داشتيد بخاطر اکتور های حرفه ای شون ارزش داره غیر صورت اصلا پیشنهاد نمیشه,1
اول برخورد پرسنل شروع بازی اوک بود داخل بازی ذره تند بود بد خلق . معما های بازی خیلی خوب بود ، خیلی حرفه ای عالی حد توان بتونیم حلش کنیم . کل اوک بود برخورد پرسنل یکم بد بود .,1
عالیییی هم اکتورا خیلی خفن هم معماهاش خوب بودن هیجانش خیلی خوب بود پیشنهاد میکنم برین حتمااا مرسی پرسنل ها😍😍😍,0
چیز عالی بود توصیه میشه شدت,0
افتضاح افتضاح حیف وقت هزینه مکان اصلا نمیدونم اسمشو گذاشتن اتاق فرار,1
خب باید بهتون بگم ک اکتور عالی بودن معما راحت میشد حل کرد چیز خاصی نداشت مهم تر هم برخورد پرسنل افتضاح بود,1
تجربه خوبی بود هیجان زیادی داشت پرسنل ، دکور ... خوب بود پیشنهاد میکنم بار تجربه کنید,0
دکور خیلی خیلی عالی دلهره آور،خیلی لذت بردم،,0
خیلی خوب,0
فوق العاده تحسین برانگیز بود، 🥰🥰🥰اکت های جذاب فوق استرسی،👿☠💀☠👿من بهتون پیشنهاد میکنم کا تست کنین.👍از پذیرایی خوب مدیریت ادب پرسنل متشکرم.😘,0
نظر اصلا کسی تجربه های زیادی داشته ترسناک بود هیجان انگیز حتی اکتور ابتدایی پوشش خنده دار هم بودن,1
نظر امنیت، کیفیت پایین بود. دیوار چندتا میخ وصل بود لباس دوستمون پاره شد خودمون هم هی میخوردیم میخ ها. نظر نظافتش هم جالب نبود جنازه سوسک بود زمین. تهویه کلا نداشت، هممون گرممون بود بدون کفش هم باید میرفتیم دیگه خودتون بدونین بود. کل اکتور داشت وقتی یکی بک میدادن بقیمون باید همینجوری میموندیم ببینیم میشه. سناریو بسیار ضعیف. فضای بسیار بسیار بزرگی داشتن میتونستم فضا چیز فوق العاده بیارن حیف. کل جالب نبود.,1
دکوراسیون خیلی خوب قشنگ طراحی شده بود ارتباط معما ،اکتور، جو بازی دکوراسیون بی,0
عالی ترس بک های خوب,0
اصلا خوب نبود ضعیف ضعیف ضعیف تایم vip گرفتیم ۹۰ دقیقه زده بود چون اخر وقت بود دوستان خسته بودند ۴۰ دقیقه ای تموم کردند اعتراض کردیم نظر سنجی هم ثبت میکنم,0
فضا دکور عالی,0
خسته نباشید.نکات ضعف:سناریو ربطی اتاقها معماها نداشت صدا موزیک نمیزاشت گروه صدا بی سیم بشنون بک بی هدف، معماها طولانی حوصله سربر بود جوری بود موقع معما خودمون همدیگرو میترسوندیم. نکات مثبت:طراحی صحنه خوب بازی اکتورها بسیار عالی بود. سانس ۹ چهارشنبه ۱۱ آبان,1
کلا نظر ضعیف بود اکتا افتضاح ... دکور افتضاح.... فقط نمیدونم نظر مثبتو کیا دادن ؟؟,1
خیلی عالی بود ترسش قابل تحمل بود معماها هم جذاب بود. دستتون درد نکنه,0
بدتر دیگه امکان نداشت، خیلی بی برنامه بودند اول وارد میشی تا ربع فضای نیم,1
بسیار جالب جذاب بود!,1
رفتن اتاق فرار پشیمون نمیشید معما های منطقی خوب، بازی اکتور فوق العاده، تیم خیلی باجنبه,0
خرابی بد بچه های مردم راازرابدر مکنید لااقل شماره تلفن بدین ازتون شکایت بشه,1
بیش حد بها داده شده معنای واقعی ! فضا سازی خوبه جریان ترس قرار میگیرید سوالی مطرحه اینه کدوم معما عالیه ! کدوم منطق ؟! استثنا معمای اول بازی سایر معما هیچ نکته ای ندارن سافاری اکت های خوب میشه همینو گفت فقط,0
سلام خسته نباشید ب گروه خفن تجربه های تاپ بازی بازی لذت بردیم ترس ، معما ،اکت،فضا سازی همچی عالی بود جاهایی اکت های سنگینی داشت واقعا😂 بی نظیر...,0
سلام امروز بازی رفتیم خوب بود درصد بازی ایراد داشت کامنت میزاشتم بهترین بازی بود رفتم تا الان خیلی خوب بود هم ترس هم اکتور هم معما دنبال بازی خوب هستید برید خیلی حال کردیم پرسنل خلاق,0
مزخرف اتاق فراری ک رفتم نرید چهارتا بچه دورهم جمع شدن,1
ضعیف متاسفانه,1
بازی خوب بود اونجور شنیدیم نبود بد اکران شد اکتور دختر اصلا نبود شنیده بودیم بوده انرژی منفی گیم مستر دکور خوب پایان بسیار بی مفهوم,1
سلام دورو بر سازنده اتاق قرار تا حالا ۴تا اتاق فرار رفتم جوهنا یکی بهترین اتاق فرار های تهران هستش برخورد پرسنل فوق العاده عالی شوخ فوق العاده ترسناک تیم جرعت برگشتن اتاق بک نداشتن بس ترسناک خلاصه خیلی راضی هستم اتاق فرار پیشنهاد میکنم برید ی اتاق فرار ترسناک داشته باشید,0
کل خوب بود خوش گذشت✌🏻,0
بهتتتتتتتتترین,1
خفن ترینی,0
عالی بود داستان بازی معما بازی اکتور درجه بود برخورد پرسنل هم عالی نظر درجه بود,0
عالي بود,0
هیجان بازی انقدر زیاده قابل توصیف نیست واقعا.هرچی بازی بگم کمه,0
رفتار پرسنل شدت افتضاح.... ریختن پولتون جوب بازی بازی کنید .... جورایی مثل سافاری وحشت😂😂😂,1
عالی عالی عالی واقعن عالی بود اکت کاملن جا، معماها عالی، برخورد پرسنل بسیار عالی، فضا سازی همخوانی فضا اکت معما کاملن عالی، کسایی میخوان لذت ببرن پیشنهاد میشه,0
مرسی هیچ بازی اندازه بهمون حال نداد عالی معما اندازه هیجان بازی عالی حرف نداشت فیلممونو میشد بدید عالی ترم بود,0
